name,story_count,types
Ember,16,phoenix; dragon; salamander; crow; echidna; farmer; firefly; fox; robin
Etta,16,explorer; baker; fox; mechanic; photographer; sheep; squirrel
Miso,16,rat; mouse; cat
Nadia,16,magpie; deer; hedgehog; lynx; rabbit; diver; mouse; nadia
Tomas,16,badger; racer; accountant; cartographer; electrician; ferryman; runner; sailmaker
Ari,15,student; antelope; climber; cobbler; dastan; diver; guide; keeper; pilot; rabbit; runner
Arun,15,mechanic; rabbit; apprentice; courier; keeper; messenger; village
Auntie June,15,june
Cass,15,builder; badger; beekeeper; deer; goalkeeper; goat; librarian; officer; pilot; rook; student
Cedric,15,wizard; chipmunk
Dara,15,scientist; auditor; deer; forager; fox; holt; mason; mouse; nun; rabbit; skater
Dr. Hale,15,hale
Dr. Kellan,15,kellan
Eli,15,hedgehog; rabbit; evacuee; mapmaker; mouse; volunteer; wedding
Fen,15,witch; fox; bat; cat; deckhand; falconer; ibex; ogre; owl; strategist
Greta,15,goat; goose; gardener; goblin; keeper; swimmer
Jasper,15,jackdaw; fox; wizard; rabbit; raven; tortoise
Lila,15,cat; llama; baker; hare; loon; mouse; sheep
Professor Calder,15,calder
Professor Sen,15,sen
Rosie,15,sheep; rabbit; mouse; robin
Cricket,14,goblin; cat; canary; witch
Marnie,14,cat; mole; detective; ferry; ghost; goat; lighthouse; magpie; monkey; mouse; sheepdog
Nico,14,student; wizard; boat; dog; duck; mole; mouse; newt; rabbit
Nyx,14,raven; cat; navigator; scavenger; scout
Rook,14,raven; goblin; fox; gargoyle; goby; jackdaw; mechanic; page; podcaster; prince; wizard
Walnut,14,bear; hamster; squirrel
Dottie,13,duck; dog; dolphin; mouse; pig; pup; rabbit; witch
June,13,otter; seal; archivist; beaver; duck; gull; henchperson; inventor; scout; wren
Ned,13,mole; duck; wizard; crow; newt; poet; rabbit
Niko,13,camel; apprentice; fixer; ghostwriter; graffitist; mechanic; navigator; painter; serrat; sweep
Orbit,13,dog; terrier; robot; wizard
Pearl,13,pig; penguin; cat; opossum; pelican; seal; sparrow; sprite; swan
Puddle,13,duck; frog; penguin; pixie; platypu
Ripple,13,frog; newt; sprite; camel; duck; eel; mermaid; wizard
Velvet,13,owl; bat; bear; rabbit; cat; vixen; vole; witch
Zuri,13,coder; keeper; trainee; zebra
Bloop,12,robot; monster
Callum,12,experimenter; fixer; guild; reed
Clara,12,mouse; cat; laundres
Elio,12,wizard; elf; apprentice; badger; chaser; fox; sailor; sketcher
Fig,12,rat; donkey; ferret; flamingo
Mallow,12,ogre; mouse; baker; cat; manatee; marmot; moth; sheep; wizard
Momo,12,monkey; cat; moonbird; moth; mouse
Nib,12,goblin; crow; dragon; hamster; kingfisher; mapmaker; rabbit; robin
Nibble,12,mouse; hamster
Noor,12,astronomer; aziz; cadet; courier; guard; hacker; owl; rabbit; racer; seller; stoat; trader
Ollie,12,watcher; otter; owl; gull; mouse
Pudding,12,cat; pig; goat; hedgehog; ogre; panda; pug
Coral,11,crab; seal; witch; canary; cat; cow; parrot; rabbit
Gus,11,goose; hedgehog; duck; gecko; hunter; rook
Lantern,11,rat; moth; wizard; worm
Marmalade,11,rabbit; cat; bear; marmot
Mila,11,builder; inventor; hobbyist
Oren,11,maker; assistant; badger; magician; rook; shepherd; watcher
Orla,11,witch; bee; dryad; glassmaker; meerkat; outrider; surveyor
Willow,11,elf; hare; wolf; bat; bear; cat; rabbit; wombat
Auntie Noor,10,noor
Captain Elowen,10,elowen
Caspar,10,heron; wizard; calf; drummer
Coach Ellis,10,elli
Dr. Rowan,10,rowan
Dr. Sol,10,
Eira,10,elf; fiddler; fox; hare; otter
Flora,10,sheep; fox; deer; duck; flamingo; rabbit
Hush,10,moth; owl; bat; bear; cat; ghost; hushbird; robot
Ms. Lin,10,lin
Ms. Rowan,10,rowan
Nibbles,10,otter; hamster; pig; squirrel
Nori,10,elf; cat; narwhal; fairy; robot; sprite
Peregrin,10,wizard; ferryman
Pico,10,goblin; parrot; llama; penguin; pig; pika; puffin; sparrow
Professor Imani,10,imani
Rhea,10,kestrel; analyst; cox; detective; pilot; sailor
Tern,10,gull; drone; hare; marsh; rabbit; tortoise
Tessa,10,fox; deer; rabbit; raven; wren
Thistle,10,elf; goat; goblin; hedgehog; pony; witch
Uncle Dev,10,dev
Aster,9,elf; wizard; alpaca; hare; sprite
Buttons,9,bear; rat; dog
Freya,9,panda; deer; falcon; fox; inventor
Hob,9,ogre; hedgehog; clerk
Kiki,9,koala; cat; fox; kangaroo; kestrel; panda
Lentil,9,stoat; cat; ferret; fox; goat; hare; hedgehog
Lulu,9,sheep; duck; fox; koala; ladybird; lemur; llama; pig
Mica,9,cat; goat; robot; troll
Muffin,9,goat; dog; marmot; mole; mouse; pig
Olive,9,owl; otter; hedgehog; mouse
Pecan,9,squirrel; dog; chipmunk; imp; porcupine; raccoon
Pippa,9,witch; kingfisher; maker; mouse; panda; penguin; pony
Pippin,9,rat
Rune,9,crow; ferret; hare; phoenix; wizard
Sable,9,drone; elf; historian; north; rabbit; robot; seal; skunk; thief; witch
Suki,9,squirrel; badger; fox; leopard; swallow
Thorn,9,donkey; wizard; cat; hedgehog; thrush
Tuppence,9,ogre; rabbit; cat; mouse; pig; rat; toad
Alder,8,wizard; dragon; witch
Bertie,8,beaver; bear; otter; rabbit
Betsy,8,beagle; beaver; boatbuilder
Brindle,8,witch; badger; fox; goat; monster
Coco,8,cockapoo; cat; sheep; crocodile
Corin,8,apprentice; cat; disguise; elf; raven; runner; surveyor; witnes
Dapple,8,pony; deer; calf; goblin; ibex
Dex,8,tester; courier; dachshund; historian
Elowen,8,witch; badger; deer; hare; historian; racer
Fenn,8,ogre; crow; deer; elf; frog; rook
Honey,8,hamster; horse; skunk
Jules,8,raven; chef; keeper; mouse
Kip,8,kestrel; goat; judge; kiwi
Miss Clover,8,clover
Nina,8,watcher; chick; mouse; narwhal
Otto,8,beaver; duck; golem; octopus; otter; owl; playwright; turtle
Penny,8,elf; panda; pony; penguin; pig
Pepper,8,cat; fox; parrot; rabbit; sheep; stoat
Pipit,8,robin; dog; swift
Rill,8,elf; rabbit; sprite; wizard
Robin,8,weasel; kid; robin; smith
Silas,8,deer; raven; wizard; fox; rabbit
Skiff,8,kestrel; gull; owl; skunk
Skipper,8,squirrel; cat; dog; fish; monkey; sail-cloud; seal
Sprocket,8,robot; goblin; golem; mouse; sparrow; wheelbot
Talia,8,biologist; diver; elf; falcon
Teacup,8,donkey; bear; cat; dragon; glider; turtle
Aunt June,7,june
Barnaby,7,bear; crab; printer; rat; sheep; squirrel; wizard
Bibi,7,bee; crane; goat; ogre; rabbit; sheep; witch
Bloom,7,bee; bumblebee; swarm
Calla,7,helper; falcon; fox
Cas,7,cat; judge; squirrel
Dash,7,dog; donkey; lizard
Dr. Vale,7,vale; scientist
Ewan,7,seal; mole; page
Fable,7,ferret; dragon; firefly; raven; witch
Fennel,7,fox; elf; ferret; frog; rabbit
Glint,7,beetle; elf; gecko; golem; grifflet
Imogen,7,stoat; brewer; coach
Ink,7,cat; hedgehog; newt; octopus; otter
Leila,7,badger; magpie; cat; goat; station
Lena,7,hare; falconer; prophet
Mei,7,heron; cook; intern
Midge,7,cat; hedgehog; mouse
Mr. Quill,7,quill; officer
Mr. Thistle,7,thistle
Mr. Vale,7,vale
Nibs,7,goblin; hamster
Nim,7,elf; firefly; mole; moth; rat
Oona,7,alien; chocolatier; diver; frog; goblin; hedgehog; octopus
Quinn,7,badger; cat; goat; magpie
Rey,7,watcher; skater; surveyor
Rin,7,calder; guide; inventor; panda; picker; seal; signaler
Rivulet,7,cat; ferret; fox; goat; hare; hedgehog; stoat
Ruby,7,spotter; squirrel
Rufus,7,wizard; dog; inventor; panda; rabbit
Rupert,7,badger; wizard
Skye,7,dog; dragon; elf; seal; skunk; swallow; swan
Soot,7,cat; crow; drone; imp; newt; salamander
Spark,7,crow; elf; sprite
Tinker,7,marmot; bear; mouse; tabby; termite; terrier
Una,7,horse; unicorn; dancer; fox; vole
Alfie,6,pony; alpaca; hamster
Brim,6,bat; goblin
Bryn,6,elf; ferryman; moose; ogre; ropewalker; skater
Captain Wren,6,wren
Casper,6,goat; calf; cat; crow; fox
Celandine,6,witch; elf
Dahlia,6,lynx; duck
Dandelion,6,duck; donkey; mouse; sheep
Dax,6,donkey; fishing; harbor; hobbyist; mechanic; thief
Della,6,dog; witch
Dr. Pine,6,pine
Edda,6,blacksmith; elf; elk; ogre; orchard; swimmer
Eva,6,owl; pilot
Gorse,6,goat; boar; gnome; ogre; pig
Gulliver,6,gull; frog; gargoyle; pelican
Hana,6,acrobat; clockmaker; hana; lead; mayor; medic
Hugh,6,badger; carpenter; librarian; mouse; rabbit; wizard
Idris,6,astronomer; baker; eel; keeper; riddler; teacher
Jax,6,mapmaker; moreno
Jude,6,puzzle-solver; duck
Leah,6,builder; morley
Leena,6,inventor; farmer
Lottie,6,duck; lizard; otter
Marlo,6,magpie; mole; dragon; skater
Mayor,6,enthusiast; entrepreneur; mos; porth; reed; visionary
Mint,6,bunting; cat; elf; fairy; hedgehog; sprite
Mizzle,6,cat; fox; hedgehog; mermaid
Mottle,6,goblin; lizard; monster; ogre
Mr. Finch,6,finch
Mrs. Honey,6,honey
Mrs. Maple,6,maple
Mrs. Rowan,6,rowan
Mrs. Vale,6,vale
Nimbus,6,dragon; pony; sheep; sprite; witch
Nurse,6,fern
Opal,6,ghost; hare; maker; mechanic; opossum; sprite
Posy,6,elf; pig; mouse; witch
Saffy,6,elf; deer; hedgehog; seal; swan
Samir,6,tinkerer; cartographer
Sumi,6,stoat; crane
Tamsin,6,captain; diplomat; diver; engineer; scavenger; wizard
Uncle Pipkin,6,pipkin
Vale,6,acrobat; diver; moth; rook; stoat; worm
Veda,6,cartographer; conductor; rabbit; repairer; shepherd; shipwright
Vera,6,drone; granddaughter; shepherdes; student; vixen; vole
Vesper,6,witch; fox; historian
Aria,5,collector
Aunt Mara,5,mara
Aunt Mei,5,mei
Aunt Olive,5,olive
Aunt Rosa,5,rosa
Aunt Ruth,5,ruth
Auntie Flo,5,flo
Auntie Jo,5,auntie
Auntie Saira,5,saira
Aurelia,5,unicorn
Ava,5,watcher
Aya,5,gardener; heron; prodigy; sailor; tracker
Bristle,5,boar; crow; fern-bot; fox; sprite
Captain Ivo,5,ivo
Captain Noor,5,noor
Captain Reed,5,reed
Cherry,5,chinchilla; hamster
Clementine,5,deer
Coach Dev,5,dev
Coach Fern,5,fern
Coach Pansy,5,pansy
Commander,5,
Dora,5,beaver; donkey; mouse; sheep; witch
Dr. Ada,5,ada
Dr. Farah,5,farah
Dr. Fern,5,fern
Dr. Finch,5,finch
Dr. Quill,5,quill
Dr. Quinn,5,quinn
Elara,5,hedgehog
Esra,5,intern
Farah,5,correspondent; critic; engineer; lent; scribe
Farmer,5,farmer
Floss,5,sheep; fairy; flamingo
Glim,5,goblin; alien; ghost; glowbug
Glimmer,5,fish; goat; monster; mouse; sprite
Gran Elin,5,elin
Gran Mae,5,mae
Gran Maple,5,maple
Gran Ruth,5,ruth
Grandad Ash,5,ash
Grandad Sol,5,
Grandad Tom,5,tom
Grandma Nell,5,nell
Grandpa Lee,5,lee
Grandpa Moss,5,mos
Headmistress,5,plum
Hex,5,bot; dragon; drone; robot; sprite
Kellan,5,blacksmith; kestrel; runner; singer; watcher
Kettle,5,dog; goat; goblin
Lio,5,courier; diver; gecko; scout; swamp
Maisie,5,bear
Mentor,5,vale
Miri,5,astronomer; cat; meerkat; mouse; planner
Miss Maple,5,maple
Miss Willow,5,willow
Mo,5,inventor; mole; moth; mummy; otter
Mr. Alder,5,alder
Mr. Clive,5,clive
Mr. Hale,5,hale
Mr. Kellan,5,kellan
Mr. Moss,5,mos
Mr. Stone,5,stone
Mr. Tinker,5,tinker
Mrs. Bramble,5,bramble
Mrs. Plum,5,plum
Mrs. Quinn,5,quinn
Mrs. Thread,5,thread
Ms. Flint,5,flint
Ms. Imani,5,imani
Ms. Lark,5,lark
Nana Bea,5,bea
Nana Tess,5,tes
Odo,5,ogre; goldfish; orangutan; owl
Orin,5,crow; ferryman; mapmaker; sheep; wizard
Parker,5,thinker
Pocket,5,bear; cricket; mouse; penguin; rabbit
Professor Elm,5,elm
Professor Hale,5,hale
Professor Pine,5,pine
Professor Suri,5,suri
Puck,5,dragon; goblin; gull; magpie; stowaway
Rattle,5,goblin; skeleton; starfish
Ren,5,android; conductor; smuggler; student; watchmaker
Rolo,5,panda; raccoon; rat
Roo,5,kangaroo; koala; mouse; rabbit
Sofia,5,captain; organiser
Tal,5,bellfounder; brother; driver; eclipse; nerd
Toto,5,bear; gecko; tabby; tiger; tortoise
Uncle Dee,5,dee
Uncle Hari,5,hari
Waffle,5,dog; rabbit; wombat
Wobble,5,ogre; robot; sprite; wombat
Zoya,5,enthusiast
Anya,4,hare; racer; sprite; van
Bix,4,beaver; goblin; hedgehog; monkey
Brother,4,monk; beekeeper; monk-engineer
Bumble,4,bee; calf; moth
Clink,4,beetle; goblin; golem; raccoon
Cobble,4,donkey; ogre; wizard
Cog,4,golem; rat; robot; squirrel
Crumble,4,corgi; gnome; pig
Drizzle,4,alien; dragon; fish; sprite
Echo,4,drone; firefly; parrot; robot
Faye,4,ferret; gardener; innkeeper; runner
Fidget,4,goblin
Finch,4,drone; locksmith; mouse; seahorse
Flick,4,fox; goblin; horse
Galen,4,gardener; archaeologist; welder
Hal,4,caretaker; magician; rival; tortoise
Halo,4,moth; horse; map
Hattie,4,hamster; hedgehog
Ines,4,captain; farmer; medic; milkmaid
Jori,4,blacksmith; firefly; poet; tailor
Kite,4,fox; kestrel; koala; rook
Latch,4,ferret; computer; rat
Leif,4,climber; ferryman; gardener; moose
Lin,4,lantern-maker; lemur; officer; volunteer
Ludo,4,elf; heron; ogre; otter
Micah,4,wizard; diver; ferryman
Miss Birch,4,birch
Morwen,4,witch
Moth,4,cat; drone; fairy; moth
Ms. Vale,4,vale
Needle,4,stoat; drone
Nellie,4,bat; calf; newt; otter
Nip,4,hare
Nix,4,goblin; rat; sprite
Nook,4,fox; narwhal; ogre; raccoon
Nova,4,comet; dropout; mechanic; robot
Nutmeg,4,mouse; hamster; squirrel
Pansy,4,pony; crane; goat
Pax,4,clerk; courier; drummer; robot
Peep,4,chick; penguin; robot
Peregrine,4,captain; philosopher; wizard
Petal,4,goblin; pangolin; unicorn
Petra,4,cadet; clockmaker; officer; restorer
Polly,4,pony; panda; puffin
Rafe,4,fox; grandson; locksmith; rower
Remy,4,mechanic; chicken; cole
Rina,4,rabbit; fox; mapmaker
Runa,4,hedgehog; rabbit; reindeer; witch
Tarin,4,courier; leopard; musician; skater
Timo,4,fox; otter; postmaster; prince
Tinsel,4,cat; fairy; hare; pixie
Toffee,4,pony; plush; tortoise
Tolliver,4,ogre; gargoyle
Tor,4,elf; beaver; crow
Tuck,4,mole; rabbit; stoat; tortoise
Twinkle,4,fairy; bear; sprite
Uncle Theo,4,theo
Zadie,4,guard; horse; magpie; scavenger
Albie,3,wizard
Bean,3,bear; mouse; rabbit
Bell,3,bluebird; rabbit; snail
Bella,3,rabbit
Blink,3,firefly; frog; robot; wizard
Blue,3,bear; monday; rabbit
Bluebell,3,rabbit
Bo,3,beetle; dancer; sleeper
Bobo,3,bat; bear; beetle
Boggle,3,goblin
Bolt,3,bot; lizard; robot
Brik,3,ambassador; gargoyle; robot
Bubbles,3,goldfish; puffin; rabbit
Bunting,3,marmot
Calder,3,captain; page; robot
Chime,3,assistant; chickadee; sprite
Clank,3,robot
Clove,3,crow; sphinx; witch
Crank,3,robot; mole
Crispin,3,dragon; fool; squirrel
Dazzle,3,bee; fairy; ghost
Dev,3,geniu; sampler; shah
Dock,3,donkey; seal; whippet
Dotty,3,bear; dachshund; dog
Drum,3,cat; goat; unicorn
Elias,3,inspector; keeper; wizard
Elric,3,wizard; elf
